"","Secondary","Psychological.Complaints","Psychosomatic.Complaints"
"1",2.3,2.6,2
"2",2.4,2.4,2.4
"3",2.2,3.2,1.2
"4",2.7,1.8,3.6
"5",2.3,2.8,1.8
"6",1.4,1.8,1
"7",2.7,3.2,2.2
"8",1.8,2.6,1
"9",1.6,2.2,1
"10",3.5,4,3
"11",2.7,3,2.4
"12",3.8,4,3.6
"13",1.8,2.6,1
"14",2.5,2.6,2.4
"15",2.6,2.6,2.6
"16",1.9,2.2,1.6
"17",3.4,3.6,3.2
"18",2.9,4.6,1.2
"19",3.1,3.2,3
"20",2.2,2.6,1.8
"21",2.3,3.2,1.4
"22",2.9,2.6,3.2
"23",2.8,3,2.6
"24",2.2,2.4,2
"25",2.7,2.8,2.6
"26",1.7,2.2,1.2
"27",2.3,2.2,2.4
"28",1.9,2.4,1.4
"29",2,2.8,1.2
"30",2.2,2.4,2
"31",1.6,1.6,1.6
"32",2.4,2.8,2
"33",2.6,3.4,1.8
"34",2,2.6,1.4
"35",3.4,3.8,3
"36",3.3,3.4,3.2
"37",3.6,4,3.2
"38",2,2,2
"39",1.4,1.8,1
"40",3,3.2,2.8
"41",4,4.2,3.8
"42",2.7,3.2,2.2
"43",2.5,2.2,2.8
"44",4.1,4.8,3.4
"45",2.3,2,2.6
"46",1.8,1.8,1.8
"47",2.7,2.8,2.6
"48",2.7,2.4,3
"49",2,2.2,1.8
"50",1.9,2.4,1.4
"51",2.6,3,2.2
"52",2.5,3,2
"53",3.2,4,2.4
"54",2.3,2.6,2
"55",3,2.8,3.2
"56",3,3.4,2.6
"57",2.2,2.8,1.6
"58",2.2,3.2,1.2
"59",1.6,2.2,1
"60",2.6,2.2,3
"61",2.2,2.6,1.8
"62",2.7,2.8,2.6
"63",2.7,2.6,2.8
"64",1.9,2,1.8
"65",2.5,3.2,1.8
"66",1.8,2,1.6
"67",3.4,3.4,3.4
"68",2.3,2.6,2
"69",3,3.8,2.2
"70",3.2,3.4,3
"71",1.7,1.8,1.6
"72",2.4,2.8,2
"73",1.5,1.4,1.6
"74",2.9,3,2.8
"75",2.6,3,2.2
"76",2.2,2.4,2
"77",3.6,4.4,2.8
"78",2.3,2.2,2.4
"79",2.7,3.2,2.2
"80",4,4.2,3.8
"81",2.2,3,1.4
"82",2.1,2.6,1.6
"83",3.2,4,2.4
"84",3,4.2,1.8
"85",2.4,3,1.8
"86",2.4,2.4,2.4
"87",2.3,2.6,2
"88",3.8,3.8,3.8
"89",1.5,1.6,1.4
"90",1.8,1.2,2.4
"91",3.3,4.6,2
"92",2.5,3.2,1.8
"93",2.7,3.2,2.2
"94",1.5,1.8,1.2
"95",3.3,3.2,3.4
"96",2.7,3.2,2.2
"97",3.2,3.4,3
"98",3.2,4,2.4
"99",2.5,3.8,1.2
"100",2.9,3,2.8
"101",3.2,3.2,3.2
"102",1.4,1.4,1.4
"103",1.8,2.6,1
"104",1.4,1.4,1.4
"105",2.5,3,2
"106",2.4,3.2,1.6
"107",2,2.2,1.8
"108",2.1,2.6,1.6
"109",2.5,2.8,2.2
"110",2,2,2
"111",4.1,4.4,3.8
"112",3.5,3.8,3.2
"113",2.9,3.2,2.6
"114",1.1,1,1.2
"115",2.2,2.6,1.8
"116",4.5,5,4
"117",1.8,1.8,1.8
"118",3.1,3.6,2.6
"119",3,3.6,2.4
"120",3.9,4,3.8
"121",1.1,1.2,1
"122",3.1,3.8,2.4
"123",2.6,2.6,2.6
"124",1.6,1.6,1.6
"125",2.9,3,2.8
"126",2.6,2.6,2.6
"127",4.6,4.8,4.4
"128",2.6,2.4,2.8
"129",2.5,3.2,1.8
"130",3.3,3.4,3.2
"131",2,2,2
"132",2.4,2.6,2.2
"133",3.5,3.4,3.6
"134",3,3.4,2.6
"135",2.3,2.8,1.8
"136",2.3,3,1.6
"137",2.1,2.6,1.6
"138",1.9,2,1.8
"139",3.2,3.8,2.6
"140",1.7,1.8,1.6
"141",2.3,2.6,2
"142",2.1,1.8,2.4
"143",2.7,2.8,2.6
"144",2.5,2.6,2.4
"145",2,2.6,1.4
"146",2,2.2,1.8
"147",2.1,1.8,2.4
"148",1.4,1.4,1.4
"149",2.1,2.8,1.4
"150",3.6,4,3.2
"151",1.5,1.8,1.2
"152",1.2,1.4,1
"153",4.2,4.6,3.8
"154",2,2,2
"155",3.6,3.8,3.4
"156",2.1,2.6,1.6
"157",1.7,2.2,1.2
"158",2.4,3.2,1.6
"159",2.2,2.2,2.2
"160",3.3,2.8,3.8
"161",2.8,2.8,2.8
"162",1.5,1.8,1.2
"163",2.3,2.6,2
"164",1.9,2.4,1.4
"165",2.2,2.4,2
"166",3.4,3.2,3.6
"167",1.3,1.2,1.4
"168",3.1,2.8,3.4
"169",2.1,2.4,1.8
"170",1.4,1.6,1.2
"171",2.4,2.8,2
"172",3.1,3.6,2.6
"173",1.3,1.6,1
"174",2.4,2.4,2.4
"175",2.3,3,1.6
"176",1.4,1.6,1.2
"177",1.9,2.2,1.6
"178",1.6,1.6,1.6
"179",1.1,1.2,1
"180",2.7,3.2,2.2
"181",2.9,3.2,2.6
"182",2.5,2.8,2.2
"183",3.2,3.8,2.6
"184",2.7,2.8,2.6
"185",3,2.6,3.4
"186",3.2,3.8,2.6
"187",3.3,4.4,2.2
"188",2.7,2.6,2.8
"189",2.9,2.6,3.2
"190",2.4,2.4,2.4
"191",2.3,2.6,2
"192",2.5,3.4,1.6
"193",1,1,1
"194",2.5,2.4,2.6
"195",3.5,4,3
"196",3.8,4,3.6
"197",2.8,3,2.6
"198",1.8,2.4,1.2
"199",1.8,2.2,1.4
"200",3.1,4,2.2
"201",2.5,3,2
"202",3.3,3.8,2.8
"203",3.4,3.2,3.6
"204",2,2.2,1.8
"205",2.1,2,2.2
"206",3.4,4.4,2.4
"207",2.4,2.6,2.2
"208",2.6,3.2,2
"209",3.4,4.4,2.4
"210",1.4,1.6,1.2
"211",2.6,2.8,2.4
"212",1.9,1.6,2.2
"213",1.7,2.4,1
"214",3,3,3
"215",3,2.8,3.2
"216",3.5,3.8,3.2
"217",1.4,1.8,1
"218",1.8,1.8,1.8
"219",1.7,2,1.4
"220",1.8,2,1.6
"221",1.4,1.6,1.2
"222",2.1,2.4,1.8
"223",3.5,4.4,2.6
"224",3,3.4,2.6
"225",3,3.2,2.8
"226",3,3,3
"227",2.8,2.8,2.8
"228",3.8,3.8,3.8
"229",3.8,4,3.6
"230",2.8,2.4,3.2
"231",2.1,3.2,1
"232",1.8,2.6,1
"233",3.4,3.8,3
"234",2,2.2,1.8
"235",3.5,3.8,3.2
"236",1.5,2,1
"237",3.5,4,3
"238",3.1,2.6,3.6
"239",3.5,4,3
"240",1.4,1.6,1.2
"241",2.7,2.6,2.8
"242",1.9,2,1.8
"243",2.9,3.6,2.2
"244",1.6,1.8,1.4
"245",2.3,2.4,2.2
"246",2.6,2.6,2.6
"247",3.4,3.4,3.4
"248",2.5,2.8,2.2
"249",2.1,2,2.2
"250",2.2,2.2,2.2
"251",2.2,2.8,1.6
"252",2.7,2.4,3
"253",1.5,1.4,1.6
"254",2,1.8,2.2
"255",1.8,2,1.6
"256",2.2,2.4,2
"257",3.5,3.4,3.6
"258",1.9,2.2,1.6
"259",2.4,2.8,2
"260",2.1,2.4,1.8
"261",2.3,2.6,2
"262",3.2,3.4,3
"263",2.6,2.8,2.4
"264",3.5,4.2,2.8
"265",2.8,3,2.6
"266",2.2,2.4,2
"267",1.8,1.4,2.2
"268",1.9,2,1.8
"269",2.5,2.4,2.6
"270",3.6,3.4,3.8
"271",3.6,3.8,3.4
"272",2.7,3.2,2.2
"273",3.4,3,3.8
"274",3.9,4,3.8
"275",3.7,3.8,3.6
"276",3.8,3.8,3.8
"277",3.8,3.8,3.8
"278",3.7,4.2,3.2
"279",3,3,3
"280",2.7,2.6,2.8
"281",2.7,2.8,2.6
"282",2.5,2.6,2.4
"283",2.9,2.8,3
"284",1,1,1
"285",2.8,3.8,1.8
"286",3.8,4.2,3.4
"287",2.4,2.6,2.2
"288",1.5,2,1
"289",1.9,1.8,2
"290",1.8,2,1.6
"291",3.4,3.8,3
"292",2.6,3.2,2
"293",2.9,2.8,3
"294",1.8,1.8,1.8
"295",1.8,1.8,1.8
"296",2.7,2.8,2.6
"297",1.8,2.2,1.4
"298",2.5,3.2,1.8
"299",1.7,1.8,1.6
"300",2.7,3.2,2.2
"301",2.9,3.2,2.6
"302",3.2,3.2,3.2
"303",3.3,3.6,3
"304",2.6,3,2.2
"305",3.6,3.4,3.8
"306",4,4.2,3.8
"307",2.4,2.6,2.2
"308",1.6,1.4,1.8
"309",2.8,2.8,2.8
"310",2.7,2.8,2.6
"311",2.3,2.6,2
"312",2.6,2.6,2.6
"313",3.2,3,3.4
"314",1.4,1.4,1.4
"315",2.7,3,2.4
"316",3.2,3.4,3
"317",2,2.2,1.8
"318",1.6,1.8,1.4
"319",2.1,2,2.2
"320",2.9,3.4,2.4
"321",3.6,3.6,3.6
"322",2.2,1.8,2.6
"323",3.9,4.4,3.4
"324",1.9,2,1.8
"325",2.7,2.8,2.6
"326",2.5,3.4,1.6
"327",2.7,3.6,1.8
"328",2.7,2.2,3.2
"329",3.6,3.8,3.4
"330",1.4,1.4,1.4
"331",2.4,2.6,2.2
"332",2.5,2.4,2.6
"333",2.5,2.8,2.2
"334",2.1,2.4,1.8
"335",2.5,2.8,2.2
"336",2.7,2.6,2.8
"337",2.1,1.8,2.4
"338",2.1,2.4,1.8
"339",4.1,4,4.2
"340",3.5,3.6,3.4
"341",3.1,3,3.2
"342",3.5,3.8,3.2
"343",3.7,4.2,3.2
"344",1.8,2,1.6
"345",2.6,2.6,2.6
"346",2.3,2.6,2
"347",2.1,2.2,2
"348",2.2,2.4,2
"349",1.5,1.6,1.4
"350",1.8,1.8,1.8
"351",2.8,3,2.6
"352",1.5,1.4,1.6
"353",1.6,1.8,1.4
"354",1.8,2.2,1.4
"355",3.1,3.6,2.6
"356",2.5,3.2,1.8
